Date : 2022-04-14 16:04:54
Directory : d:\CodeArea\Other\NewsApp\news
Total : 692 files,  71463 codes, 14669 comments, 5960 blanks, all 92092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| uview-ui\components\u-form-item                                                                                            |          1 |        313 |         92 |         27 |        432 |
| uview-ui\components\u-full-screen                                                                                          |          1 |         48 |          0 |          5 |         53 |
| uview-ui\components\u-gap                                                                                                  |          1 |         39 |         13 |          3 |         55 |
| uview-ui\components\u-grid                                                                                                 |          1 |         81 |         23 |          5 |        109 |
| uview-ui\components\u-grid-item                                                                                            |          1 |         96 |         22 |          9 |        127 |
| uview-ui\components\u-icon                                                                                                 |          1 |        247 |         72 |         18 |        337 |
| uview-ui\components\u-image                                                                                                |          1 |        200 |         62 |          6 |        268 |
| uview-ui\components\u-index-anchor                                                                                         |          1 |         75 |         10 |          5 |         90 |
| uview-ui\components\u-index-list                                                                                           |          1 |        287 |         20 |          9 |        316 |
| uview-ui\components\u-input                                                                                                |          1 |        300 |         75 |         13 |        388 |
| uview-ui\components\u-keyboard                                                                                             |          1 |        156 |         52 |         10 |        218 |
| uview-ui\components\u-lazy-load                                                                                            |          1 |        173 |         67 |          5 |        245 |
| uview-ui\components\u-line                                                                                                 |          1 |         60 |         20 |          5 |         85 |
| uview-ui\components\u-line-progress                                                                                        |          1 |        112 |         25 |         11 |        148 |
| uview-ui\components\u-link                                                                                                 |          1 |         62 |         24 |          4 |         90 |
| uview-ui\components\u-loading                                                                                              |          1 |         78 |         17 |          9 |        104 |
| uview-ui\components\u-loading-page                                                                                         |          1 |         18 |          0 |          8 |         26 |
| uview-ui\components\u-loadmore                                                                                             |          1 |        153 |         41 |         10 |        204 |
| uview-ui\components\u-mask                                                                                                 |          1 |         96 |         22 |          6 |        124 |
| uview-ui\components\u-message-input                                                                                        |          1 |        243 |         48 |         21 |        312 |
| uview-ui\components\u-modal                                                                                                |          1 |        218 |         57 |          9 |        284 |
| uview-ui\components\u-navbar                                                                                               |          1 |        235 |         67 |         14 |        316 |
| uview-ui\components\u-no-network                                                                                           |          1 |        207 |         16 |         11 |        234 |
| uview-ui\components\u-notice-bar                                                                                           |          1 |        203 |         59 |         11 |        273 |
| uview-ui\components\u-number-box                                                                                           |          1 |        283 |         71 |         10 |        364 |
| uview-ui\components\u-number-keyboard                                                                                      |          1 |        141 |          9 |          9 |        159 |
| uview-ui\components\u-parse                                                                                                |          6 |      1,673 |        210 |         55 |      1,938 |
| uview-ui\components\u-parse\libs                                                                                           |          5 |      1,152 |         91 |         49 |      1,292 |
| uview-ui\components\u-picker                                                                                               |          1 |        570 |         91 |         16 |        677 |
| uview-ui\components\u-popup                                                                                                |          1 |        356 |         81 |         20 |        457 |
| uview-ui\components\u-radio                                                                                                |          1 |        209 |         50 |         13 |        272 |
| uview-ui\components\u-radio-group                                                                                          |          1 |         86 |         39 |          4 |        129 |
| uview-ui\components\u-rate                                                                                                 |          1 |        213 |         56 |          7 |        276 |
| uview-ui\components\u-read-more                                                                                            |          1 |        145 |         27 |          8 |        180 |
| uview-ui\components\u-row                                                                                                  |          1 |         62 |         18 |          5 |         85 |
| uview-ui\components\u-row-notice                                                                                           |          1 |        231 |         28 |         11 |        270 |
| uview-ui\components\u-search                                                                                               |          1 |        259 |         73 |         11 |        343 |
| uview-ui\components\u-section                                                                                              |          1 |        119 |         27 |          9 |        155 |
| uview-ui\components\u-select                                                                                               |          1 |        321 |         82 |         15 |        418 |
| uview-ui\components\u-skeleton                                                                                             |          1 |        147 |         46 |          7 |        200 |
| uview-ui\components\u-slider                                                                                               |          1 |        199 |         50 |          9 |        258 |
| uview-ui\components\u-steps                                                                                                |          1 |        162 |         21 |         18 |        201 |
| uview-ui\components\u-sticky                                                                                               |          1 |        129 |         24 |          5 |        158 |
| uview-ui\components\u-subsection                                                                                           |          1 |        288 |         58 |         10 |        356 |
| uview-ui\components\u-swipe-action                                                                                         |          1 |        206 |         42 |          8 |        256 |
| uview-ui\components\u-swiper                                                                                               |          1 |        271 |         53 |         17 |        341 |
| uview-ui\components\u-switch                                                                                               |          1 |        127 |         27 |         10 |        164 |
| uview-ui\components\u-tabbar                                                                                               |          1 |        271 |         47 |         13 |        331 |
| uview-ui\components\u-table                                                                                                |          1 |         61 |         20 |          4 |         85 |
| uview-ui\components\u-tabs                                                                                                 |          1 |        270 |         89 |         11 |        370 |
| uview-ui\components\u-tabs-swiper                                                                                          |          1 |        385 |         84 |         20 |        489 |
| uview-ui\components\u-tag                                                                                                  |          1 |        223 |         44 |         28 |        295 |
| uview-ui\components\u-td                                                                                                   |          1 |         53 |          9 |          5 |         67 |
| uview-ui\components\u-th                                                                                                   |          1 |         50 |          9 |          4 |         63 |
| uview-ui\components\u-time-line                                                                                            |          1 |         32 |          6 |          6 |         44 |
| uview-ui\components\u-time-line-item                                                                                       |          1 |         67 |         10 |          7 |         84 |
| uview-ui\components\u-toast                                                                                                |          1 |        176 |         30 |         15 |        221 |
| uview-ui\components\u-top-tips                                                                                             |          1 |         92 |         19 |         11 |        122 |
| uview-ui\components\u-tr                                                                                                   |          1 |         16 |          6 |          4 |         26 |
| uview-ui\components\u-upload                                                                                               |          1 |        507 |        133 |         15 |        655 |
| uview-ui\components\u-verification-code                                                                                    |          1 |        123 |         38 |          4 |        165 |
| uview-ui\components\u-waterfall                                                                                            |          1 |        132 |         39 |          6 |        177 |
| uview-ui\components\uview-v1                                                                                               |          1 |          0 |          0 |          1 |          1 |
| uview-ui\libs                                                                                                              |         41 |      2,574 |        655 |        490 |      3,719 |
| uview-ui\libs\config                                                                                                       |          2 |         22 |         11 |          2 |         35 |
| uview-ui\libs\css                                                                                                          |          7 |        413 |         69 |        118 |        600 |
| uview-ui\libs\function                                                                                                     |         23 |        988 |        288 |        123 |      1,399 |
| uview-ui\libs\mixin                                                                                                        |          2 |         65 |         17 |          2 |         84 |
| uview-ui\libs\request                                                                                                      |          1 |        121 |         38 |         11 |        170 |
| uview-ui\libs\store                                                                                                        |          1 |         17 |          1 |          1 |         19 |
| uview-ui\libs\util                                                                                                         |          5 |        948 |        231 |        233 |      1,412 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\CodeArea\Other\NewsApp\news\.hbuilderx\launch.json                                                                      | JSON with Comments |         19 |          1 |          1 |         21 |
| d:\CodeArea\Other\NewsApp\news\App.vue                                                                                     | Vue                |         23 |          3 |          3 |         29 |
| d:\CodeArea\Other\NewsApp\news\README.md                                                                                   | Markdown           |          6 |          0 |          1 |          7 |
| d:\CodeArea\Other\NewsApp\news\app.js                                                                                      | JavaScript         |          5 |          0 |          2 |          7 |
| d:\CodeArea\Other\NewsApp\news\app.json                                                                                    | JSON               |         13 |          0 |          1 |         14 |
| d:\CodeArea\Other\NewsApp\news\common\uni-ui.scss                                                                          | SCSS               |         95 |         10 |         16 |        121 |
| d:\CodeArea\Other\NewsApp\news\components\custom-back-to-top\custom-back-to-top.vue                                        | Vue                |         95 |         10 |          9 |        114 |
| d:\CodeArea\Other\NewsApp\news\components\custom-nomore\custom-nomore.vue                                                  | Vue                |         33 |          2 |          5 |         40 |
| d:\CodeArea\Other\NewsApp\news\components\custom-refresher\custom-refresher.vue                                            | Vue                |         49 |          4 |          6 |         59 |
| d:\CodeArea\Other\NewsApp\news\components\iconfont\iconfont.vue                                                            | Vue                |         11 |          0 |          1 |         12 |
| d:\CodeArea\Other\NewsApp\news\components\iconfont\iconfontJs.js                                                           | JavaScript         |         11 |          0 |          0 |         11 |
| d:\CodeArea\Other\NewsApp\news\components\loading\loading.vue                                                              | Vue                |         66 |          0 |          7 |         73 |
| d:\CodeArea\Other\NewsApp\news\components\loading\pageLoading.vue                                                          | Vue                |         74 |          0 |         14 |         88 |
| d:\CodeArea\Other\NewsApp\news\components\my-paging\my-paging.vue                                                          | Vue                |         65 |         18 |          7 |         90 |
| d:\CodeArea\Other\NewsApp\news\components\sticky-swiper-item\sticky-swiper-item.vue                                        | Vue                |        130 |         21 |          6 |        157 |
| d:\CodeArea\Other\NewsApp\news\components\sticky-swiper-next-item\sticky-swiper-next-item.vue                              | Vue                |        117 |         20 |          6 |        143 |
| d:\CodeArea\Other\NewsApp\news\components\swiper-list-item\swiper-list-item.vue                                            | Vue                |         99 |         12 |          6 |        117 |
| d:\CodeArea\Other\NewsApp\news\components\tabs-view\tabs-view.vue                                                          | Vue                |         92 |         10 |          8 |        110 |
| d:\CodeArea\Other\NewsApp\news\components\u-tabs-swiper\u-tabs-swiper.vue                                                  | Vue                |        382 |         87 |         20 |        489 |
| d:\CodeArea\Other\NewsApp\news\components\uni-section\config.json                                                          | JSON               |         12 |          0 |          1 |         13 |
| d:\CodeArea\Other\NewsApp\news\components\uni-section\readme.md                                                            | Markdown           |         22 |          0 |          9 |         31 |
| d:\CodeArea\Other\NewsApp\news\components\uni-section\uni-section.vue                                                      | Vue                |         97 |         29 |         11 |        137 |
| d:\CodeArea\Other\NewsApp\news\config\api.js                                                                               | JavaScript         |         12 |         11 |         16 |         39 |
| d:\CodeArea\Other\NewsApp\news\config\request.js                                                                           | JavaScript         |         43 |         37 |          2 |         82 |
| d:\CodeArea\Other\NewsApp\news\config\utils.js                                                                             | JavaScript         |         40 |         10 |          4 |         54 |
| d:\CodeArea\Other\NewsApp\news\http\consistency-request.js                                                                 | JavaScript         |         21 |          6 |          3 |         30 |
| d:\CodeArea\Other\NewsApp\news\http\request.js                                                                             | JavaScript         |         67 |          5 |          6 |         78 |
| d:\CodeArea\Other\NewsApp\news\main.js                                                                                     | JavaScript         |         19 |          5 |          9 |         33 |
| d:\CodeArea\Other\NewsApp\news\manifest.json                                                                               | JSON               |         78 |          8 |          1 |         87 |
| d:\CodeArea\Other\NewsApp\news\package.json                                                                                | JSON               |         12 |          0 |          0 |         12 |
| d:\CodeArea\Other\NewsApp\news\pages.json                                                                                  | JSON               |        199 |         25 |         15 |        239 |
| d:\CodeArea\Other\NewsApp\news\pages\anti-epidemic\anti-epidemic.vue                                                       | Vue                |        256 |         24 |         14 |        294 |
| d:\CodeArea\Other\NewsApp\news\pages\anti-epidemic\tableData.js                                                            | JavaScript         |         14 |          2 |          3 |         19 |
| d:\CodeArea\Other\NewsApp\news\pages\center\areas.json                                                                     | JSON               |          1 |          0 |          0 |          1 |
| d:\CodeArea\Other\NewsApp\news\pages\center\author.vue                                                                     | Vue                |         55 |          1 |          6 |         62 |
| d:\CodeArea\Other\NewsApp\news\pages\center\center.vue                                                                     | Vue                |        178 |         21 |          7 |        206 |
| d:\CodeArea\Other\NewsApp\news\pages\center\history.vue                                                                    | Vue                |        166 |         16 |         10 |        192 |
| d:\CodeArea\Other\NewsApp\news\pages\center\like.vue                                                                       | Vue                |        166 |         16 |         10 |        192 |
| d:\CodeArea\Other\NewsApp\news\pages\center\message.vue                                                                    | Vue                |        261 |         12 |          9 |        282 |
| d:\CodeArea\Other\NewsApp\news\pages\center\updateInfo.vue                                                                 | Vue                |        231 |         72 |         10 |        313 |
| d:\CodeArea\Other\NewsApp\news\pages\common\login\login.vue                                                                | Vue                |        168 |         11 |         11 |        190 |
| d:\CodeArea\Other\NewsApp\news\pages\common\login\register.vue                                                             | Vue                |        126 |          4 |         10 |        140 |
| d:\CodeArea\Other\NewsApp\news\pages\index\index.vue                                                                       | Vue                |        216 |          4 |         12 |        232 |
| d:\CodeArea\Other\NewsApp\news\pages\news-detail\author.vue                                                                | Vue                |        293 |         29 |         13 |        335 |
| d:\CodeArea\Other\NewsApp\news\pages\news-detail\news-detail.vue                                                           | Vue                |        692 |         67 |         30 |        789 |
| d:\CodeArea\Other\NewsApp\news\pages\news-detail\reply.vue                                                                 | Vue                |        428 |         42 |          7 |        477 |
| d:\CodeArea\Other\NewsApp\news\pages\news-titles\searchContent.vue                                                         | Vue                |        149 |         13 |          8 |        170 |
| d:\CodeArea\Other\NewsApp\news\project.config.json                                                                         | JSON               |         79 |          0 |          0 |         79 |
| d:\CodeArea\Other\NewsApp\news\sitemap.json                                                                                | JSON               |          7 |          0 |          0 |          7 |
| d:\CodeArea\Other\NewsApp\news\store\$u.mixin.js                                                                           | JavaScript         |         19 |          5 |          3 |         27 |
| d:\CodeArea\Other\NewsApp\news\store\index.js                                                                              | JavaScript         |         44 |         16 |          6 |         66 |
| d:\CodeArea\Other\NewsApp\news\template.h5.html                                                                            | HTML               |         24 |          0 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni.scss                                                                                    | SCSS               |          1 |          5 |          1 |          7 |
| d:\CodeArea\Other\NewsApp\news\uniCloud-aliyun\database\db_init.json                                                       | JSON               |        425 |          2 |          1 |        428 |
| d:\CodeArea\Other\NewsApp\news\uniCloud-aliyun\database\opendb-news-articles.schema.json                                   | JSON               |        122 |          0 |          1 |        123 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\changelog.md                                                            | Markdown           |         38 |          0 |          6 |         44 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\config.js                                            | JavaScript         |         38 |         35 |          5 |         78 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\iconfont.scss                                        | SCSS               |         31 |          0 |          8 |         39 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\n-table.vue                                          | Vue                |        485 |         40 |         56 |        581 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\pager.vue                                            | Vue                |        148 |          2 |         10 |        160 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\readme.md                                            | Markdown           |        220 |          0 |         33 |        253 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\table-body.vue                                       | Vue                |        314 |         33 |         37 |        384 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\table-header.vue                                     | Vue                |         89 |          1 |          7 |         97 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\table-name.vue                                       | Vue                |         60 |          1 |         10 |         71 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\title-column.vue                                     | Vue                |        215 |          8 |         31 |        254 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\components\n-table\utils.js                                             | JavaScript         |         45 |          2 |          4 |         51 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\package.json                                                            | JSON               |         80 |          0 |          0 |         80 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\n-table\readme.md                                                               | Markdown           |        220 |          0 |         33 |        253 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-badge\changelog.md                                                          | Markdown           |         29 |          0 |          1 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-badge\components\uni-badge\uni-badge.vue                                    | Vue                |        213 |         33 |         23 |        269 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-badge\package.json                                                          | JSON               |         88 |          0 |          0 |         88 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-badge\readme.md                                                             | Markdown           |          6 |          0 |          5 |         11 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-card\changelog.md                                                           | Markdown           |         26 |          0 |          1 |         27 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-card\components\uni-card\uni-card.vue                                       | Vue                |        214 |         37 |         20 |        271 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-card\package.json                                                           | JSON               |         90 |          0 |          1 |         91 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-card\readme.md                                                              | Markdown           |          6 |          0 |          7 |         13 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-config-center\changelog.md                                                  | Markdown           |          4 |          0 |          1 |          5 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-config-center\package.json                                                  | JSON               |         80 |          0 |          1 |         81 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-config-center\readme.md                                                     | Markdown           |         76 |          0 |         17 |         93 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\index.js     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\package.json | JSON               |          9 |          0 |          0 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-icons\changelog.md                                                          | Markdown           |         22 |          0 |          1 |         23 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-icons\components\uni-icons\icons.js                                         | JavaScript         |      1,169 |          0 |          1 |      1,170 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-icons\components\uni-icons\uni-icons.vue                                    | Vue                |         77 |         14 |          6 |         97 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-icons\components\uni-icons\uniicons.css                                     | CSS                |        498 |          0 |        166 |        664 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-icons\package.json                                                          | JSON               |         86 |          0 |          0 |         86 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-icons\readme.md                                                             | Markdown           |          6 |          0 |          3 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\changelog.md                                                             | Markdown           |         24 |          0 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\package.json                                                             | JSON               |         80 |          0 |          0 |         80 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\readme.md                                                                | Markdown           |         22 |          0 |         11 |         33 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\LICENSE.md                         | Markdown           |        169 |          0 |         33 |        202 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\index.js                           | JavaScript         |          1 |          0 |          1 |          2 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\package-lock.json                  | JSON               |         11 |          0 |          1 |         12 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\package.json                       | JSON               |         16 |          0 |          1 |         17 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\changelog.md                                                           | Markdown           |         18 |          0 |          1 |         19 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list-ad\uni-list-ad.vue                                 | Vue                |         88 |         10 |         10 |        108 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list-chat\uni-list-chat.scss                            | SCSS               |         25 |         23 |         11 |         59 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list-chat\uni-list-chat.vue                             | Vue                |        413 |         86 |         40 |        539 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list-item\uni-list-item.vue                             | Vue                |        368 |         76 |         31 |        475 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list\uni-list - 副本.vue                                  | Vue                |         83 |         17 |          7 |        107 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list\uni-list.vue                                       | Vue                |         85 |         17 |          7 |        109 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list\uni-refresh.vue                                    | Vue                |         59 |          4 |          3 |         66 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\components\uni-list\uni-refresh.wxs                                    | XML                |         73 |          0 |         15 |         88 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\package.json                                                           | JSON               |         91 |          0 |          0 |         91 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-list\readme.md                                                              | Markdown           |        244 |         10 |         93 |        347 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-load-more\changelog.md                                                      | Markdown           |          6 |          0 |          1 |          7 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-load-more\components\uni-load-more\uni-load-more.vue                        | Vue                |        288 |         31 |         44 |        363 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-load-more\package.json                                                      | JSON               |         82 |          0 |          0 |         82 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-load-more\readme.md                                                         | Markdown           |         42 |          0 |         28 |         70 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-nav-bar\changelog.md                                                        | Markdown           |         34 |          0 |          4 |         38 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-nav-bar\components\uni-nav-bar\uni-nav-bar.vue                              | Vue                |        262 |         58 |         24 |        344 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-nav-bar\components\uni-nav-bar\uni-status-bar.vue                           | Vue                |         23 |          2 |          3 |         28 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-nav-bar\package.json                                                        | JSON               |         89 |          0 |          0 |         89 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-nav-bar\readme.md                                                           | Markdown           |          6 |          0 |         10 |         16 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\changelog.md                                                          | Markdown           |         58 |          0 |          1 |         59 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup-dialog\keypress.js                               | JavaScript         |         42 |          3 |          1 |         46 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup-dialog\uni-popup-dialog.vue                      | Vue                |        217 |         35 |         20 |        272 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup-message\uni-popup-message.vue                    | Vue                |        103 |         27 |         14 |        144 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup-share\uni-popup-share.vue                        | Vue                |        150 |         26 |         12 |        188 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\i18n\en.json                                     | JSON               |          7 |          0 |          1 |          8 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\i18n\index.js                                    | JavaScript         |          8 |          0 |          1 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\i18n\zh-Hans.json                                | JSON               |          7 |          0 |          1 |          8 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\i18n\zh-Hant.json                                | JSON               |          7 |          0 |          1 |          8 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\keypress.js                                      | JavaScript         |         39 |          6 |          1 |         46 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\popup.js                                         | JavaScript         |         21 |          3 |          3 |         27 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\components\uni-popup\uni-popup.vue                                    | Vue                |        346 |        118 |         12 |        476 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\package.json                                                          | JSON               |         90 |          0 |          1 |         91 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-popup\readme.md                                                             | Markdown           |          7 |          0 |         11 |         18 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\changelog.md                                                           | Markdown           |          8 |          0 |          1 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\index.scss                                                             | SCSS               |          1 |          0 |          1 |          2 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\package.json                                                           | JSON               |         82 |          0 |          1 |         83 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\readme.md                                                              | Markdown           |          3 |          0 |          1 |          4 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\index.scss                                                      | SCSS               |          7 |          0 |          1 |          8 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_border.scss                                            | SCSS               |          3 |          0 |          0 |          3 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_color.scss                                             | SCSS               |         49 |         16 |          2 |         67 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_radius.scss                                            | SCSS               |         52 |          1 |          3 |         56 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_space.scss                                             | SCSS               |         54 |          0 |          2 |         56 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_styles.scss                                            | SCSS               |        149 |          3 |         16 |        168 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_text.scss                                              | SCSS               |         19 |          4 |          2 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\setting\_variables.scss                                         | SCSS               |        103 |         29 |         15 |        147 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\styles\tools\functions.scss                                            | SCSS               |         17 |          1 |          2 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\theme.scss                                                             | SCSS               |         19 |         11 |          2 |         32 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-scss\variables.scss                                                         | SCSS               |         37 |         13 |         13 |         63 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-transition\changelog.md                                                     | Markdown           |         20 |          0 |          1 |         21 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-transition\components\uni-transition\createAnimation.js                     | JavaScript         |        100 |         20 |          9 |        129 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-transition\components\uni-transition\uni-transition.vue                     | Vue                |        232 |         41 |          5 |        278 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-transition\package.json                                                     | JSON               |         87 |          0 |          0 |         87 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uni-transition\readme.md                                                        | Markdown           |          6 |          0 |          5 |         11 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\README.md                                                              | Markdown           |         79 |          0 |         26 |        105 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\changelog.md                                                           | Markdown           |        247 |          0 |         47 |        294 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\theme.scss                                                  | SCSS               |         31 |          6 |          8 |         45 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u--form\u--form.vue                                         | Vue                |         55 |         22 |          2 |         79 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\components\u--image\u--image.vue                                       | Vue                |         42 |          4 |          1 |         47 |
